"","ID","STIK_1","STIK_2","STIK_3","STIK_4","STIK_5","STIK_6","STIK_7","STIK_8","STIK_9","STIK_10","STIK_11","STIK_12","STIK_13","STIK_14","STIK_15","STIK_16","STIK_17","STIK_18","STIK_19","Stigma_Shame_1","Stigma_Shame_2","Stigma_Shame_3","Stigma_Shame_4","Stigma_Shame_5","Stigma_Shame_6","Stigma_Shame_7","Stigma_Shame_8","Stigma_Shame_9","Stigma_Shame_10","Stigma_Shame_11","Stigma_Shame_12","Stigma_Shame_13","Stigma_Shame_14","SSE_1","SSE_2","SSE_3","SSE_4","SSE_5","SSE_6","Comfort_1","Comfort_2","Comfort_3","Comfort_4","Comfort_5","Comfort_6","Comfort_7","Comfort_8","Comfort_9","SexGuilt_1","SexGuilt_2","SexGuilt_3","SexGuilt_4","SexGuilt_5","SexGuilt_6","SexGuilt_7","SexGuilt_8","SexGuilt_9","SexGuilt_10","STI_ShameInter","STI_StigmaInter","SSE_ScaleInter","Comfort_ScaleInter","SexGuilt_1R","SexGuilt_2R","SexGuilt_6R","SexGuilt_8R","SexGuilt_10R","Guilt_ScaleInter"
"51","60b7d053a787ce9076e74227",2,2,2,1,1,3,2,1,3,3,2,1,2,1,2,3,2,2,2,2,3,3,3,3,3,2,3,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,2,2,4,2,3,2,3,2.71428571428571,2.14285714285714,4,3.88888888888889,1,2,1,2,2,1.9
"52","5e7a46d8e1e19301df4faab9",2,2,1,1,2,1,2,1,3,2,2,1,2,1,2,1,2,1,2,3,3,4,4,4,3,3,4,3,3,2,3,3,3,4,4,4,4,4,4,3,4,3,3,4,3,4,3,3,4,4,2,1,3,4,2,3,2,3,3.42857142857143,3,4,3.33333333333333,1,1,1,2,2,1.8
"53","608d8e5a23217f3f78975235",2,2,2,1,3,1,2,1,2,2,3,1,2,1,3,1,2,2,2,2,2,2,2,2,3,4,1,2,2,2,2,1,1,3,4,3,4,4,4,3,2,3,4,3,1,2,3,3,1,3,3,2,3,3,2,3,2,3,2.42857142857143,1.57142857142857,3.66666666666667,2.66666666666667,4,2,2,2,2,2.5
"54","60ff1afb897b7577b4c20a2e",2,2,2,1,3,3,2,1,1,1,2,1,2,1,2,3,2,2,3,3,4,4,4,4,4,3,2,1,1,1,1,3,2,3,4,4,3,4,4,4,3,3,2,3,3,4,4,3,4,3,2,2,2,3,2,3,2,4,3.71428571428571,1.57142857142857,3.66666666666667,3.22222222222222,1,2,2,2,1,1.9
"55","5f86e83e2285ab046ea8b224",2,3,1,2,1,2,2,1,2,2,2,1,3,2,3,3,1,1,1,3,4,3,3,4,3,3,4,2,2,2,2,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3.28571428571429,2.28571428571429,3.33333333333333,3,1,1,2,2,2,2.3
"56","60c3eaa52cb40fdec8e682ea",2,2,2,1,1,1,2,1,1,1,2,1,2,1,3,2,2,2,2,2,3,2,3,3,2,2,2,1,2,2,2,2,2,4,4,4,4,4,4,4,2,3,4,3,3,2,3,3,3,3,2,2,2,3,2,3,2,3,2.42857142857143,1.85714285714286,4,3,2,2,2,2,2,2.1
"57","5f69c62d0bda08020d07c27e",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,1,4,2.85714285714286,1,4,4,1,1,1,1,1,1.7
"58","634731dd2e395fbd8a09ee1f",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,3,2,3,2,2,2,3,3,2,2,2,2,2,1,4,4,4,4,4,4,4,3,3,3,2,3,2,2,3,3,3,3,3,4,3,2,3,2,3,2.42857142857143,2,4,2.77777777777778,2,2,2,2,2,2.5
"59","5ecf82c4e84c2d01e7ba2f7a",2,2,2,1,1,3,2,1,1,1,2,1,2,1,1,3,2,2,2,3,3,3,3,3,3,2,2,1,1,2,2,3,2,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,2,2,3,2,3,1,4,2.85714285714286,1.85714285714286,4,3.22222222222222,2,2,2,2,1,2
"60","5f0f44ccf585170d7b14c030",2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,3,4,3,2,3,2,1,1,1,1,2,1,3,1,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3,4,3,1,1,3,3,1,2,1,4,2.57142857142857,1.42857142857143,3.66666666666667,3.77777777777778,1,2,2,3,1,1.5
"61","601de190e37c951eaa8c89e4",2,2,2,1,1,3,2,1,3,3,2,1,2,1,1,3,2,2,3,3,4,3,3,4,3,3,2,2,1,2,2,3,2,4,4,4,4,4,4,3,2,3,3,2,3,4,2,3,4,4,3,1,2,3,2,3,1,4,3.28571428571429,2,4,2.77777777777778,1,1,2,2,1,1.7
"62","5e4b00acecbca8011a7319c1",2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,3,4,3,3,3,3,2,2,1,1,2,2,3,2,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,3,2,3,4,2,3,2,3,3,1.85714285714286,4,3.66666666666667,1,1,1,2,2,2
"63","5f91842b29f0ee090d298b09",2,2,1,2,1,2,2,1,1,1,2,1,2,1,2,3,2,2,2,3,4,3,3,3,4,2,2,2,1,1,1,3,1,4,4,3,4,4,3,3,3,3,4,4,3,3,3,4,4,4,2,2,3,4,2,3,1,3,3.14285714285714,1.57142857142857,3.66666666666667,3.33333333333333,1,1,1,2,2,1.8
"64","5e5cf03c1977824c54306ab0",2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,3,3,3,3,3,3,2,2,2,1,1,1,2,1,3,4,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,3,2,3,2.85714285714286,1.42857142857143,3.16666666666667,2.88888888888889,2,2,2,2,2,2.2
"65","602566f8b47a130ae1d2f94b",2,3,2,1,3,1,2,1,1,1,2,1,2,1,3,2,2,2,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,4,3,4,4,3,3,4,3,4,4,3,3,4,3,4,4,4,2,1,2,4,1,4,1,4,2.28571428571429,1,3.5,3.55555555555556,1,1,1,1,1,1.5
"66","5eda54a30d7fc464b9aa4cfe",2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,2,1,3,2,3,3,4,4,3,2,4,3,3,3,3,2,3,4,3,3,3,2,2,3,4,2,3,1,3,2.71428571428571,1.57142857142857,3.16666666666667,3.11111111111111,2,2,1,2,2,2
"67","63468bba5b07f90fcd2c1e16",2,2,2,1,1,2,2,2,1,3,2,1,2,1,1,1,2,2,2,3,3,2,2,3,3,2,2,3,2,2,2,3,2,3,4,3,3,4,4,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,3,3,3,3,2.57142857142857,2.28571428571429,3.5,2.22222222222222,3,3,2,2,2,2.6
"68","60af75c97b9939e8757c37e7",2,2,2,1,1,1,2,1,1,1,2,1,3,1,1,1,2,2,2,3,4,3,3,3,3,3,2,2,2,2,2,3,3,4,4,4,4,4,4,4,2,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3.14285714285714,2.28571428571429,4,2.88888888888889,3,3,3,3,2,2.5
"69","5f4014ebc9ed761161f17c73",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,3,3,2,2,2,2,1,1,1,2,1,2,2,4,4,3,4,4,4,3,3,3,4,4,3,4,4,3,3,3,2,2,1,3,2,3,2,4,2.28571428571429,1.42857142857143,3.83333333333333,3.44444444444444,2,2,2,2,1,1.9
"70","634d7526f126d5e2312f06cd",3,2,2,1,1,3,2,1,1,1,2,3,2,1,2,2,2,2,3,3,3,4,4,3,3,3,2,1,1,1,1,3,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,1,3,4,2,4,4,4,3.28571428571429,1.57142857142857,3.83333333333333,3.88888888888889,1,1,1,1,1,2
"71","62d6eab2e7cc8a1247b27d7e",2,1,2,1,2,1,2,1,3,1,1,1,2,1,1,3,2,2,2,4,4,4,4,4,4,2,1,2,1,4,1,2,1,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4,4,2,1,1,2,1,4,1,4,3.71428571428571,1.71428571428571,4,3.55555555555556,1,1,3,1,1,1.6
"72","5bcc34925ac43c0001992c0c",2,2,1,1,3,2,2,1,1,1,2,3,2,1,1,2,2,2,1,1,4,3,2,3,3,2,1,1,1,1,1,3,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,2,4,2,3,2,4,2.57142857142857,1.28571428571429,4,3.77777777777778,1,2,1,2,1,2
"73","60cfc2db46329d9f83ce0653",2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,3,2,3,2,2,3,3,2,1,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,3,2,2,3,2,3,1,3,2.42857142857143,1.42857142857143,4,3.44444444444444,1,1,2,2,2,1.9
"74","60a047bd9244cf64dc2283a8",2,2,2,1,3,2,2,1,2,2,2,1,2,1,1,3,2,2,2,2,4,3,2,3,3,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,NA,4,4,4,3,4,4,4,4,4,2,1,3,4,1,3,1,4,2.57142857142857,1,4,3.875,1,1,1,2,1,1.5
"75","636563357c0b1d5ce3758616",2,2,2,1,1,1,2,2,1,1,2,1,2,1,3,1,2,2,1,2,3,3,2,3,3,2,1,1,1,2,1,3,2,4,4,4,4,4,4,4,2,3,4,4,4,2,4,3,3,3,2,2,2,4,1,4,2,4,2.57142857142857,1.57142857142857,4,3.33333333333333,2,2,1,1,1,1.9
"76","62a12aee913c1c1a20613418",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,3,3,3,3,3,3,3,2,1,1,2,2,3,1,4,4,4,4,4,4,4,2,3,3,2,3,4,4,4,4,4,3,1,2,4,2,4,1,4,3,1.71428571428571,4,3.22222222222222,1,1,1,1,1,1.7
"77","5f0adb4c958a653bd5d0eeb7",2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,2,3,2,4,3,2,3,2,2,3,3,3,3,2,3,2,3,3,3,3,4,2,3,3,1,3,2.28571428571429,2.28571428571429,2.83333333333333,2.55555555555556,2,2,3,2,2,2.6
"78","59f604fc9618dc0001d33ccd",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,1,1,1,2,1,1,3,1,3,3,1,3,4,4,4,4,4,3,4,4,4,4,4,1,1,3,3,1,4,1,3,2.14285714285714,1.28571428571429,2.33333333333333,3.88888888888889,1,1,2,1,2,1.7
"79","637f89cac9f64b93b78ff2a2",2,2,2,1,1,3,2,1,1,2,2,1,2,1,1,3,2,2,3,4,4,4,4,4,4,4,3,3,1,3,3,4,2,4,4,4,3,4,4,3,3,4,3,2,3,4,4,4,3,4,3,2,1,3,2,3,1,4,4,2.71428571428571,3.83333333333333,3.33333333333333,2,1,2,2,1,1.8
"80","5f77480675b83a250b3e8c36",3,2,1,1,3,1,2,1,3,1,2,1,2,1,2,1,2,2,3,4,4,3,4,3,4,4,1,2,2,1,3,4,3,1,4,2,3,2,2,2,3,4,1,1,1,4,1,3,4,3,4,4,4,1,2,3,2,3,3.71428571428571,2.28571428571429,2.33333333333333,2.22222222222222,1,2,4,2,2,2.8
"81","5f4d2c43f2fbb00f8bdf8de9",2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,3,2,2,2,3,4,4,3,3,3,4,3,3,2,2,3,3,3,4,4,4,4,4,4,4,2,2,3,1,2,2,2,2,2,3,3,3,3,3,2,3,1,3,3.42857142857143,2.71428571428571,4,2.22222222222222,3,2,2,2,2,2.4
"82","5acb4bac9534ba0001c780aa",2,2,2,1,3,2,2,1,2,1,2,1,2,1,2,1,2,2,2,3,4,3,3,3,3,4,2,1,1,2,2,2,1,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,2,1,2,4,1,4,1,4,3.28571428571429,1.57142857142857,3.5,3.77777777777778,1,1,1,1,1,1.5
"83","5ea92b1506b31a000c9f5248",3,2,2,1,1,2,2,1,1,3,1,3,2,1,2,3,2,2,2,3,4,3,3,3,3,2,2,1,2,1,1,3,1,4,4,4,4,4,4,4,2,1,1,2,1,4,1,4,3,4,2,2,4,3,1,3,1,4,3,1.57142857142857,4,2.22222222222222,2,1,2,2,1,1.9
"84","5c095a329f191a0001a4ed72",2,2,2,1,3,1,2,1,3,1,2,1,2,1,1,1,2,2,2,2,4,2,2,4,3,2,2,1,1,1,3,3,1,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,3,2,2,2,4,1,2,1,4,2.71428571428571,1.71428571428571,3.83333333333333,3.77777777777778,2,2,1,3,1,1.6
"85","P124",2,2,2,1,1,1,2,1,1,1,2,1,2,1,3,2,2,2,2,2,3,2,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,2,2,2,4,1,3,1,4,2.71428571428571,1.28571428571429,4,3.77777777777778,1,1,1,2,1,1.5
"86","P121",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,1,3,4,1,4,1,4,1.14285714285714,1,4,3.88888888888889,1,1,1,1,1,1.6
"87","P125",2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,3,3,2,2,3,2,2,1,1,1,1,3,1,4,4,4,4,4,4,4,2,3,3,3,3,4,4,3,3,4,3,3,1,4,1,3,1,3,2.42857142857143,1.42857142857143,4,3.22222222222222,2,1,1,2,2,1.8
"88","P128",2,2,2,1,1,2,2,1,1,1,2,1,2,1,3,1,2,2,2,1,4,4,1,3,4,2,3,3,2,1,2,4,3,2,2,4,1,2,3,3,1,3,3,1,3,2,3,4,2,2,4,1,2,4,2,3,2,4,2.71428571428571,2.57142857142857,2.33333333333333,2.55555555555556,3,3,1,2,1,2.2
"89","P129",2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,3,3,4,2,3,1,4,2,1,1,2,3,2,4,3,3,4,4,4,3,1,3,2,3,2,4,3,1,3,3,4,2,1,4,4,3,1,4,2.57142857142857,2.14285714285714,3.66666666666667,2.44444444444444,2,2,1,2,1,2.1
"90","P127",2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,4,4,3,3,4,4,2,4,1,2,1,3,3,1,4,4,4,4,3,3,4,3,4,1,2,3,4,2,1,3,4,4,2,1,3,4,4,1,2,3.42857142857143,2.14285714285714,3.66666666666667,2.66666666666667,2,1,2,1,3,2.4
"91","P147",2,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,1,1,4,4,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,2,2,2,4,1,3,1,4,2.14285714285714,1.57142857142857,3.83333333333333,3.66666666666667,1,1,1,2,1,1.5
"92","P148",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,3,2,2,3,2,3,2,2,3,3,3,2,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,2,2,1,4,2,4,1,4,2.57142857142857,1.42857142857143,4,3.77777777777778,2,1,1,1,1,1.7
"93","P122",1,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,3,2,2,3,2,2,2,1,1,1,1,3,1,4,4,4,4,4,4,4,2,3,2,2,1,4,3,3,4,3,2,1,3,3,1,3,2,4,2.28571428571429,1.42857142857143,4,2.66666666666667,1,2,2,2,1,1.8
"94","P146",2,2,2,1,1,1,2,1,2,1,2,2,3,1,1,3,2,2,3,2,3,2,2,2,2,1,2,2,2,2,2,3,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,1,2,4,2,3,1,4,2,2,4,3.88888888888889,1,1,1,2,1,1.5
